mes_ref,codigo,descricao,valor
janeiro,1.3.1.1.01.1.3.001,DIV ATIVA ALUGUEIS,122.71
janeiro,1.3.1.1.01.1.2.001,M/J ALUGUEIS,0.0
janeiro,1.3.1.1.01.1.1.001,ALUGUEIS,8303.27
janeiro,1.2.4.1.50.0.4.000,Contribuição para o Custeio do Serviço de Iluminaç,5277.72
janeiro,1.2.4.1.50.0.3.000,Contribuição para o Custeio do Serviço de Iluminaç,23872.61
janeiro,1.2.4.1.50.0.2.000,Contribuição para o Custeio do Serviço de Iluminaç,107.06
janeiro,1.2.4.1.50.0.1.000,Contribuição para o Custeio do Serviço de Iluminaç,440891.82
janeiro,1.2.1.5.01.3.1.003,CONTRIB.SERVIDOR CIVIL-PENSIONISTAS-INSTITUTO,974.36
janeiro,1.2.1.5.01.2.1.003,CONTRIB.SERVIDOR CIVIL INATIVO-INSTITUTO,10121.6
janeiro,1.2.1.5.01.1.1.004,Contribuição do Servidor Civil Ativo - Instituto,964.7
janeiro,1.2.1.5.01.1.1.002,Contribuição do Servidor Civil Ativo - Prefeitura,804990.26
janeiro,1.1.2.2.01.0.1.005,OUTRAS TAXAS PREST SERVIÇOS,0.0
janeiro,1.2.1.5.01.1.1.001,Contribuição do Servidor Civil Ativo - Câmara,14730.85
janeiro,1.1.2.2.01.0.4.004,M/J DIV ATIVA REMOÇÃO LIXO,21537.34
janeiro,1.1.2.2.01.0.4.003,M/J DIV ATIVA TX PROT ACIDENTES,2701.45
janeiro,1.1.2.2.01.0.4.002,M/J DIV ATIVA TX INCENDIO,232.86
janeiro,1.1.2.2.01.0.4.001,M/J DIV ATIVA TX PREST SERVIÇOS,9795.58
janeiro,1.1.2.2.01.0.3.005,DA OUT. TAXAS PREST SERVIÇOS,0.0
janeiro,1.1.2.2.01.0.3.004,DIV ATIVA REMOÇÃO LIXO,136097.94
janeiro,1.1.2.2.01.0.3.003,DIV ATIVA TX PROT ACIDENTES,14896.79
janeiro,1.1.2.2.01.0.3.002,DIV ATIVA TX INCENDIO,587.44
janeiro,1.1.2.2.01.0.3.001,DIV ATIVA TX PREST SERVIÇOS,4890.66
janeiro,1.1.2.2.01.0.2.005,M/J OUT. TAXAS PREST SERVIÇOS,0.0
janeiro,1.1.2.2.01.0.2.004,M/J REMOÇÃO LIXO,591.28
janeiro,1.1.2.2.01.0.2.003,M/J TX PROTEÇÃO DE ACIDENTES,51.83
janeiro,1.1.2.2.01.0.4.005,M/J DA OUT. TAXAS PREST SERVIÇOS,0.0
janeiro,1.6.9.9.99.0.4.001,M/J DIV ATIVA PATRULHA AGRICOLA,0.0
janeiro,1.6.1.1.01.0.1.023,CERTIDÃO NEGATIVA DE DEBITOS AMBIENTAIS,0.0
janeiro,1.6.9.9.99.0.4.002,Outros Serviços - Dívida Ativa - Multas e Juros,1067.79
janeiro,1.9.1.1.01.0.3.002,MULTA VIOLAÇÃO DE LACRE E OUTROS - DIVIDA ATIVA,0.0
janeiro,1.9.1.1.01.0.3.001,MULTAS DIV ATIVA INFRAÇÃO,0.0
janeiro,1.9.1.1.01.0.2.004,MULTA/ JUROS VIOLAÇÃO DE LACRE,0.0
janeiro,1.9.1.1.01.0.2.003,MULTA POR VIOLAÇÃO DE LACRE E OUTROS,22.02
janeiro,1.9.1.1.01.0.2.002,M/J MULTAS,28.46
janeiro,1.9.1.1.01.0.2.001,MULTA POR ATO DE INFRAÇÃO,0.0
janeiro,1.9.1.1.01.0.1.002,SOM ALTO - MULTA AUTO DE INFRAÇÃO,0.0
janeiro,1.9.1.1.01.0.1.001,MULTA POR AUTO DE INFRAÇÃO,392.13
